AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.0007199299229601102,0.0,0.0,0.0,0.0007199299229601102,0.0014398598459202203,0.08000000000000006
0.0007413118878669508,0.0,0.0,0.0,0.0007413118878669508,0.0014826237757339016,0.08100000000000006
0.0007629799215666004,0.0,0.0,0.0,0.0007629799215666004,0.0015259598431332008,0.08200000000000006
0.0007849309855489586,0.0,0.0,0.0,0.0007849309855489586,0.0015698619710979172,0.08300000000000006
0.0008071619830023294,0.0,0.0,0.0,0.0008071619830023294,0.0016143239660046588,0.08400000000000006
0.0008296697611640487,0.0,0.0,0.0,0.0008296697611640487,0.0016593395223280974,0.08500000000000006
0.0008524511136233983,0.0,0.0,0.0,0.0008524511136233983,0.0017049022272467966,0.08600000000000006
0.0008755027825775617,0.0,0.0,0.0,0.0008755027825775617,0.0017510055651551234,0.08700000000000006
0.0008988214610413623,0.0,0.0,0.0,0.0008988214610413623,0.0017976429220827245,0.08800000000000006
0.0009224037950115258,0.0,0.0,0.0,0.0009224037950115258,0.0018448075900230516,0.08900000000000007
0.0009462463855861864,0.0,0.0,0.0,0.0009462463855861864,0.0018924927711723729,0.09000000000000007
0.0009703457910403519,0.0,0.0,0.0,0.0009703457910403519,0.0019406915820807038,0.09100000000000007
0.0009946985288580342,0.0,0.0,0.0,0.0009946985288580342,0.0019893970577160684,0.09200000000000007
0.0010193010777217405,0.0,0.0,0.0,0.0010193010777217405,0.002038602155443481,0.09300000000000007
0.001044149879460008,0.0,0.0,0.0,0.001044149879460008,0.002088299758920016,0.09400000000000007
0.0010692413409536575,0.0,0.0,0.0,0.0010692413409536575,0.002138482681907315,0.09500000000000007
0.0010945718360014394,0.0,0.0,0.0,0.0010945718360014394,0.002189143672002879,0.09600000000000007
0.0011201377071457174,0.0,0.0,0.0,0.0011201377071457174,0.002240275414291435,0.09700000000000007
0.0011459352674588468,0.0,0.0,0.0,0.0011459352674588468,0.0022918705349176936,0.09800000000000007
0.001171960802290885,0.0,0.0,0.0,0.001171960802290885,0.00234392160458177,0.09900000000000007
0.0011982105709792596,0.0,0.0,0.0,0.0011982105709792596,0.0023964211419585193,0.10000000000000007
0.0012246808085210185,0.0,0.0,0.0,0.0012246808085210185,0.002449361617042037,0.10100000000000008
0.001251367727208276,0.0,0.0,0.0,0.001251367727208276,0.002502735454416552,0.10200000000000008
0.0012782675182274527,0.0,0.0,0.0,0.0012782675182274527,0.0025565350364549055,0.10300000000000008
0.0013053763532229117,0.0,0.0,0.0,0.0013053763532229117,0.0026107527064458233,0.10400000000000008
0.001332690385825571,0.0,0.0,0.0,0.001332690385825571,0.002665380771651142,0.10500000000000008
0.0013602057531470768,0.0,0.0,0.0,0.0013602057531470768,0.0027204115062941536,0.10600000000000008
0.001387918577240102,0.0,0.0,0.0,0.001387918577240102,0.002775837154480204,0.10700000000000008
0.0014158249665253374,0.0,0.0,0.0,0.0014158249665253374,0.002831649933050675,0.10800000000000008
0.0014439210171857272,0.0,0.0,0.0,0.0014439210171857272,0.0028878420343714543,0.10900000000000008
0.0014722028145284951,0.0,0.0,0.0,0.0014722028145284951,0.0029444056290569903,0.11000000000000008
0.0015006664343155012,0.0,0.0,0.0,0.0015006664343155012,0.0030013328686310024,0.11100000000000008
0.0015293079440624594,0.0,0.0,0.0,0.0015293079440624594,0.003058615888124919,0.11200000000000009
0.0015581234043075382,0.0,0.0,0.0,0.0015581234043075382,0.0031162468086150764,0.11300000000000009
0.0015871088698498638,0.0,0.0,0.0,0.0015871088698498638,0.0031742177396997277,0.11400000000000009
0.0016162603909584308,0.0,0.0,0.0,0.0016162603909584308,0.0032325207819168616,0.11500000000000009
0.0016455740145519214,0.0,0.0,0.0,0.0016455740145519214,0.003291148029103843,0.11600000000000009
0.0016750457853499337,0.0,0.0,0.0,0.0016750457853499337,0.0033500915706998675,0.11700000000000009
0.0017046717469960974,0.0,0.0,0.0,0.0017046717469960974,0.003409343493992195,0.11800000000000009
0.0017344479431535586,0.0,0.0,0.0,0.0017344479431535586,0.003468895886307117,0.11900000000000009
0.001764370418573319,0.0,0.0,0.0,0.001764370418573319,0.003528740837146638,0.12000000000000009
0.0017944352201358731,0.0,0.0,0.0,0.0017944352201358731,0.0035888704402717462,0.1210000000000001
0.0018246383978666252,0.0,0.0,0.0,0.0018246383978666252,0.0036492767957332505,0.1220000000000001
0.0018549760059255263,0.0,0.0,0.0,0.0018549760059255263,0.0037099520118510526,0.1230000000000001
0.0018854441035713817,0.0,0.0,0.0,0.0018854441035713817,0.0037708882071427635,0.1240000000000001
0.0019160387561012644,0.0,0.0,0.0,0.0019160387561012644,0.003832077512202529,0.12500000000000008
0.0019467560357654804,0.0,0.0,0.0,0.0019467560357654804,0.003893512071530961,0.12600000000000008
0.001977592022658495,0.0,0.0,0.0,0.001977592022658495,0.00395518404531699,0.12700000000000009
0.002008542805586252,0.0,0.0,0.0,0.002008542805586252,0.004017085611172504,0.12800000000000009
0.00203960448291031,0.0,0.0,0.0,0.00203960448291031,0.00407920896582062,0.1290000000000001
0.002070773163369176,0.0,0.0,0.0,0.002070773163369176,0.004141546326738352,0.1300000000000001
0.002102044966877273,0.0,0.0,0.0,0.002102044966877273,0.004204089933754546,0.1310000000000001
