n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,89,912.43,848.1092,28.5949,15.8609,4.8941,4.521,0.5788,0.5891,1.5551,1.4391,0.0326,0.0612,0.3272,0.7381,0.6154,0.0017,0.0062,0.0556,0.221,0.4324,0.3007,25.4671
1000,90,911.494,847.5346,28.1988,16.023,4.8747,4.4451,0.591,0.5956,1.548,1.4154,0.0337,0.0629,0.3277,0.7299,0.5995,0.0018,0.0063,0.0556,0.2229,0.4267,0.2973,26.1766
1000,91,910.5574,846.9722,27.8134,16.1723,4.8609,4.37,0.6058,0.5962,1.5334,1.3844,0.0348,0.0655,0.3287,0.7233,0.5852,0.002,0.0065,0.056,0.2246,0.4228,0.2903,26.9316
1000,92,909.6259,846.4118,27.4139,16.3278,4.8491,4.3018,0.6174,0.5999,1.516,1.3621,0.0353,0.067,0.3298,0.7147,0.573,0.0021,0.0067,0.0571,0.2244,0.4169,0.2849,27.7208
1000,93,908.6987,845.8486,27.0372,16.4847,4.8265,4.2299,0.6273,0.6038,1.5076,1.3388,0.0362,0.0678,0.3294,0.7087,0.5583,0.0022,0.0069,0.0587,0.2232,0.4146,0.2788,28.56
1000,94,907.775,845.2919,26.6561,16.6338,4.8088,4.1549,0.6414,0.6073,1.5008,1.313,0.0373,0.0687,0.3294,0.6997,0.5458,0.0023,0.007,0.0602,0.2252,0.4126,0.2742,29.3436
1000,95,906.8621,844.7199,26.294,16.7896,4.791,4.0766,0.6547,0.6115,1.4974,1.2905,0.0382,0.0688,0.3322,0.6904,0.5305,0.0025,0.0075,0.0609,0.2252,0.4097,0.2671,30.1265
1000,96,905.9516,844.1574,25.9331,16.9393,4.7676,4.0141,0.6687,0.617,1.4925,1.258,0.0394,0.0693,0.3332,0.6818,0.5182,0.0025,0.0077,0.0611,0.225,0.4036,0.2603,30.9214
1000,97,905.0431,843.5965,25.5793,17.0928,4.74,3.9504,0.6811,0.6222,1.4756,1.2317,0.0402,0.0701,0.3327,0.6746,0.5069,0.0028,0.008,0.0603,0.2246,0.3973,0.2535,31.7119
1000,98,904.1379,843.0397,25.216,17.2383,4.7244,3.8863,0.696,0.6265,1.4647,1.2043,0.0413,0.0702,0.3322,0.6731,0.4955,0.0028,0.0079,0.0615,0.224,0.3912,0.2465,32.5127
1000,99,903.2318,842.4793,24.8609,17.3898,4.7056,3.8108,0.7093,0.6291,1.4561,1.1838,0.0423,0.0714,0.3337,0.6692,0.4868,0.0029,0.0083,0.0614,0.2234,0.3837,0.2397,33.3596
1000,100,902.3305,841.9243,24.5135,17.5385,4.6887,3.7463,0.7215,0.6309,1.4394,1.1615,0.0435,0.0736,0.3334,0.6623,0.4758,0.003,0.0086,0.0618,0.2218,0.3767,0.2322,34.2264
1000,101,901.4414,841.3606,24.1758,17.695,4.6676,3.6839,0.7326,0.6357,1.4236,1.1381,0.0449,0.0747,0.3346,0.6553,0.4635,0.0032,0.0087,0.0621,0.2242,0.3706,0.2237,35.0849
1000,102,900.5387,840.7863,23.8409,17.8534,4.6448,3.6197,0.7455,0.639,1.4107,1.1143,0.0456,0.076,0.3332,0.6493,0.4516,0.0033,0.009,0.0622,0.223,0.3627,0.2177,35.8877
1000,103,899.6458,840.2237,23.5089,18.0032,4.6239,3.5507,0.7596,0.6427,1.4,1.0906,0.0464,0.0774,0.3334,0.6421,0.4394,0.0034,0.009,0.0619,0.2237,0.3565,0.2144,36.7851
1000,104,898.7585,839.6626,23.1709,18.1551,4.6018,3.488,0.7723,0.648,1.3891,1.0689,0.0473,0.0774,0.332,0.6337,0.4277,0.0034,0.0093,0.0636,0.2218,0.3536,0.2074,37.6499
1000,105,897.881,839.105,22.8488,18.3097,4.5787,3.4243,0.784,0.6504,1.3776,1.0441,0.0487,0.0783,0.3327,0.6193,0.4203,0.0033,0.0098,0.0647,0.2213,0.3466,0.2004,38.501
