n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,120,885.167,830.847,18.589,20.454,4.19,2.569,0.976,0.678,1.128,0.712,0.066,0.09,0.324,0.475,0.29,0.006,0.013,0.089,0.176,0.27,0.129,52.493
1000,121,884.377,830.287,18.342,20.596,4.18,2.507,0.993,0.682,1.122,0.696,0.069,0.089,0.318,0.471,0.277,0.006,0.013,0.089,0.173,0.262,0.131,53.196
1000,122,883.582,829.725,18.102,20.742,4.147,2.468,1.009,0.679,1.12,0.678,0.07,0.086,0.315,0.462,0.273,0.006,0.013,0.089,0.177,0.25,0.122,54.042
1000,123,882.772,829.174,17.839,20.882,4.126,2.426,1.022,0.673,1.119,0.659,0.071,0.088,0.317,0.455,0.259,0.007,0.014,0.088,0.172,0.239,0.122,55.107
1000,124,882.013,828.6,17.596,21.039,4.103,2.388,1.036,0.676,1.105,0.648,0.074,0.089,0.318,0.452,0.252,0.007,0.014,0.088,0.171,0.238,0.112,55.649
1000,125,881.214,828.051,17.357,21.18,4.079,2.36,1.059,0.669,1.086,0.63,0.074,0.089,0.313,0.441,0.25,0.007,0.014,0.089,0.165,0.235,0.103,56.785
1000,126,880.444,827.466,17.124,21.32,4.055,2.321,1.083,0.672,1.078,0.614,0.076,0.089,0.312,0.436,0.243,0.007,0.013,0.089,0.159,0.23,0.103,57.283
1000,127,879.672,826.944,16.879,21.446,4.032,2.285,1.1,0.678,1.067,0.585,0.076,0.089,0.31,0.422,0.238,0.007,0.013,0.087,0.158,0.228,0.101,58.252
1000,128,878.92,826.417,16.636,21.578,4.016,2.225,1.113,0.677,1.058,0.584,0.079,0.089,0.298,0.421,0.233,0.007,0.014,0.087,0.16,0.219,0.097,59.12
1000,129,878.159,825.881,16.399,21.719,3.99,2.171,1.119,0.681,1.038,0.574,0.081,0.087,0.302,0.409,0.222,0.008,0.015,0.086,0.16,0.218,0.099,59.974
1000,130,877.364,825.333,16.17,21.852,3.97,2.125,1.138,0.681,1.023,0.557,0.082,0.086,0.303,0.414,0.216,0.008,0.015,0.086,0.152,0.206,0.097,61.26
1000,131,876.627,824.784,15.95,21.991,3.94,2.083,1.156,0.686,1.011,0.551,0.085,0.087,0.303,0.405,0.211,0.008,0.015,0.084,0.15,0.198,0.093,61.924
1000,132,875.909,824.234,15.774,22.124,3.913,2.04,1.174,0.682,0.992,0.537,0.087,0.089,0.301,0.405,0.197,0.008,0.015,0.086,0.152,0.19,0.095,62.743
1000,133,875.201,823.723,15.564,22.234,3.867,2.004,1.188,0.684,0.987,0.52,0.091,0.094,0.3,0.41,0.196,0.008,0.015,0.086,0.146,0.189,0.096,63.489
