empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
594.0,607.4051198108953,0.6044943755616221,0.019639224281291095,60,0.4,0.4,0.4,600
670.0,700.0893888003837,0.6892317356964393,0.01174047579588082,60,0.4,0.4,0.4,700
738.0,781.0666469161961,0.7492021967149152,0.010972800273291481,60,0.4,0.4,0.4,800
787.0,902.7696604005592,0.8923867577840812,0.011998316090467533,60,0.4,0.4,0.4,900
831.0,1002.7786488979312,0.9884627666431101,0.006504743646493396,60,0.4,0.4,0.4,1000
862.0,1079.6479508060438,1.0503924150429567,0.0055850222870359855,60,0.4,0.4,0.4,1100
895.0,1239.685314658158,1.2236522603682773,0.004567847757787021,60,0.4,0.4,0.4,1200
913.0,1345.1652407147678,1.3349305498686896,0.004198330628766667,60,0.4,0.4,0.4,1300
930.0,1496.7012499463199,1.4966868545711667,0.0038479733049817935,60,0.4,0.4,0.4,1400
944.0,1518.8079293289632,1.5002744535051338,0.0011904159684307343,60,0.4,0.4,0.4,1500
100.0,99.13332286266892,0.10575049265872288,0.0343010520311011,61,0.4,0.4,0.4,100
200.0,194.552778750561,0.1985294714528293,0.035626714348692426,61,0.4,0.4,0.4,200
300.0,299.4453792017041,0.30564053340804764,0.022845707248924672,61,0.4,0.4,0.4,300
400.0,399.16462758070776,0.3992919165868725,0.03685371290681589,61,0.4,0.4,0.4,400
494.0,482.1951603152259,0.46055981285792724,0.023564410640186224,61,0.4,0.4,0.4,500
582.0,584.5343161314922,0.5715597002868718,0.008271477575437433,61,0.4,0.4,0.4,600
657.0,688.3653423166486,0.6847917984305847,0.01150867355147603,61,0.4,0.4,0.4,700
734.0,794.2120062535834,0.7813036962994317,0.008240966635527725,61,0.4,0.4,0.4,800
790.0,925.2951009374437,0.930550411367548,0.005000556196214365,61,0.4,0.4,0.4,900
829.0,1047.1370058494813,1.0576420092515206,0.006017012585520419,61,0.4,0.4,0.4,1000
855.0,1108.4763549573481,1.107401810847008,0.003842848024641828,61,0.4,0.4,0.4,1100
878.0,1205.4442148753922,1.2159520997296387,0.004586443743572538,61,0.4,0.4,0.4,1200
895.0,1343.6979160953751,1.3719602348595286,0.0020484599206972067,61,0.4,0.4,0.4,1300
908.0,1363.1539674730202,1.375936042482169,0.003423847381176478,61,0.4,0.4,0.4,1400
916.0,1379.1449128172999,1.379206907178228,0.0020113342729217005,61,0.4,0.4,0.4,1500
100.0,100.60191511770103,0.10929310343685342,0.01649167342704639,62,0.4,0.4,0.4,100
200.0,204.52290499177258,0.19960962771339985,0.03595531242751875,62,0.4,0.4,0.4,200
300.0,306.4562640322475,0.3114035326902049,0.03707548767463053,62,0.4,0.4,0.4,300
400.0,411.8425719207054,0.42032539372958494,0.02355822976946319,62,0.4,0.4,0.4,400
500.0,519.7818605698917,0.5284684979868648,0.028518985430461528,62,0.4,0.4,0.4,500
591.0,605.695794822983,0.6135277990193406,0.015524798793535072,62,0.4,0.4,0.4,600
666.0,689.5532061783156,0.6852702036911802,0.010217057747466913,62,0.4,0.4,0.4,700
719.0,767.5916130461861,0.7512418066196631,0.007569654319889419,62,0.4,0.4,0.4,800
782.0,905.350645739529,0.9031570434344443,0.00459160218531937,62,0.4,0.4,0.4,900
831.0,1073.386258885204,1.0986572587057126,0.005646685834856804,62,0.4,0.4,0.4,1000
857.0,1136.8639297664424,1.1535916859519355,0.004032625801694862,62,0.4,0.4,0.4,1100
887.0,1296.625726686679,1.3246439488417623,0.003058386239743701,62,0.4,0.4,0.4,1200
902.0,1355.9336019009127,1.3743179005636776,0.003457652435205167,62,0.4,0.4,0.4,1300
918.0,1352.0353075227586,1.3362680733469587,0.002185253847461991,62,0.4,0.4,0.4,1400
939.0,1457.3138149851661,1.437913105342156,0.0004961916122290397,62,0.4,0.4,0.4,1500
100.0,99.25444534188473,0.05801110735223229,0.014253448341579015,63,0.4,0.4,0.4,100
200.0,198.0379523870275,0.19441865806388295,0.020271336828222724,63,0.4,0.4,0.4,200
300.0,297.2699135431106,0.3250998604546356,0.03220743345573538,63,0.4,0.4,0.4,300
399.0,391.61725654589776,0.3944545610006875,0.025023305032046084,63,0.4,0.4,0.4,400
495.0,488.60096676664716,0.5085687003452037,0.01577484080838085,63,0.4,0.4,0.4,500
580.0,587.4499085730605,0.6158435326786067,0.011371626390144399,63,0.4,0.4,0.4,600
655.0,675.5466193322045,0.6799057653293945,0.011672159985006602,63,0.4,0.4,0.4,700
718.0,808.5026458861532,0.8346130434293233,0.01663556762129531,63,0.4,0.4,0.4,800
769.0,907.3699007390994,0.925213849693513,0.00905604639358776,63,0.4,0.4,0.4,900
811.0,952.9982060501608,0.9386154976378478,0.0068417052182996214,63,0.4,0.4,0.4,1000
843.0,1000.3190852026031,0.9632245213490331,0.006634201781038899,63,0.4,0.4,0.4,1100
882.0,1139.2057327831785,1.114921511231259,0.004259700317197136,63,0.4,0.4,0.4,1200
904.0,1246.2381666707677,1.225117459076444,0.0028866985387341532,63,0.4,0.4,0.4,1300
919.0,1297.7399781617619,1.262837064556576,0.0033529860559016454,63,0.4,0.4,0.4,1400
932.0,1312.7260811113904,1.2659513242156721,0.0033172364421973715,63,0.4,0.4,0.4,1500
100.0,99.86021477923501,0.09634043794166325,0.011634959621805855,64,0.4,0.4,0.4,100
200.0,199.98300213057996,0.18876259513256322,0.028820926277641424,64,0.4,0.4,0.4,200
300.0,301.7430778102628,0.30177276343748904,0.020234037233376915,64,0.4,0.4,0.4,300
400.0,406.13025613415044,0.39417736347745586,0.014604069627208855,64,0.4,0.4,0.4,400
500.0,503.80616351984156,0.4821549536353165,0.009752073016695926,64,0.4,0.4,0.4,500
593.0,589.6301826348287,0.5610825672615196,0.01814301716236903,64,0.4,0.4,0.4,600
672.0,664.2908720259466,0.6047917423846761,0.02304585387592758,64,0.4,0.4,0.4,700
724.0,742.0654467399327,0.6875695107540718,0.015082141986076315,64,0.4,0.4,0.4,800
770.0,816.6396336915263,0.7609237863802465,0.011243923904590183,64,0.4,0.4,0.4,900
813.0,940.663390282813,0.9134521588966176,0.008281793133449775,64,0.4,0.4,0.4,1000
840.0,1031.3260672787596,1.0093440164213063,0.007992075669175147,64,0.4,0.4,0.4,1100
877.0,1123.2995350816639,1.0933948008391643,0.005081036047811607,64,0.4,0.4,0.4,1200
893.0,1160.8453549840983,1.1201537848397929,0.006477238305166691,64,0.4,0.4,0.4,1300
912.0,1279.4119860185456,1.2589308316400547,0.0034264671248536273,64,0.4,0.4,0.4,1400
