n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,320,680.4924,527.577,89.1298,29.9988,13.5542,7.1494,17.86
1000,321,679.4976,526.5054,89.0724,30.0152,13.5642,7.171,17.978
1000,322,678.502,525.446,88.9956,30.0268,13.5892,7.1894,18.1084
1000,323,677.5068,524.3952,88.9164,30.0272,13.6152,7.2046,18.2056
1000,324,676.5102,523.3388,88.8418,30.0434,13.6286,7.2194,18.325
1000,325,675.5154,522.307,88.7626,30.044,13.6486,7.2258,18.4534
1000,326,674.5188,521.2534,88.6784,30.0568,13.677,7.2378,18.5772
1000,327,673.5218,520.2082,88.5924,30.065,13.6992,7.2578,18.7014
1000,328,672.5268,519.1702,88.5102,30.0726,13.7064,7.276,18.819
1000,329,671.5306,518.138,88.4226,30.0752,13.719,7.2988,18.954
1000,330,670.5378,517.1112,88.325,30.0898,13.7322,7.3092,19.0558
1000,331,669.5426,516.0818,88.2354,30.0872,13.754,7.3242,19.187
1000,332,668.5466,515.0464,88.1464,30.0948,13.7704,7.3358,19.3288
1000,333,667.5528,514.0206,88.0678,30.0904,13.7808,7.3492,19.4516
1000,334,666.5574,512.994,87.9802,30.0836,13.7958,7.3644,19.5678
1000,335,665.5632,511.9766,87.898,30.0756,13.8112,7.3756,19.7058
1000,336,664.5678,510.9356,87.8174,30.0884,13.818,7.3948,19.8344
1000,337,663.5748,509.9204,87.7206,30.0934,13.8286,7.4184,19.9862
1000,338,662.5818,508.8948,87.6482,30.0968,13.8354,7.4344,20.1334
1000,339,661.5866,507.876,87.5714,30.0848,13.8478,7.4468,20.2744
1000,340,660.5906,506.851,87.4948,30.0854,13.855,7.464,20.433
1000,341,659.5966,505.8342,87.406,30.087,13.8576,7.489,20.5646
1000,342,658.6056,504.8422,87.3004,30.086,13.8634,7.5074,20.6976
1000,343,657.6094,503.8402,87.1984,30.0926,13.865,7.5152,20.8592
1000,344,656.6144,502.8226,87.1164,30.0844,13.8778,7.5312,20.9958
1000,345,655.619,501.8126,87.0282,30.076,13.8942,7.553,21.1708
1000,346,654.6238,500.829,86.916,30.0834,13.8964,7.5536,21.3416
1000,347,653.6274,499.8374,86.8058,30.0916,13.8924,7.5654,21.4982
1000,348,652.6338,498.8396,86.7148,30.0874,13.9014,7.5732,21.6494
1000,349,651.6394,497.8338,86.6332,30.0792,13.909,7.5856,21.7974
1000,350,650.6444,496.842,86.5492,30.056,13.924,7.6004,21.9582
1000,351,649.6504,495.8596,86.4382,30.0494,13.9264,7.6126,22.1016
1000,352,648.6544,494.8828,86.3254,30.0354,13.9384,7.6234,22.269
1000,353,647.6612,493.8758,86.233,30.0352,13.9554,7.6352,22.4282
1000,354,646.6658,492.8952,86.1442,30.017,13.9532,7.64,22.6164
1000,355,645.6706,491.9272,86.0284,29.9956,13.9722,7.6436,22.7794
