n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,328,672.65,532.42,82.41,26.33,11.45,5.82,29.56
1000,329,671.65,531.48,82.28,26.3,11.46,5.82,29.69
1000,330,670.68,530.45,82.25,26.33,11.48,5.78,29.92
1000,331,669.68,529.43,82.18,26.23,11.59,5.82,30.01
1000,332,668.7,528.44,82.07,26.27,11.6,5.84,30.18
1000,333,667.7,527.5,82.01,26.21,11.62,5.9,31.05
1000,334,666.7,526.56,81.89,26.26,11.66,5.89,31.62
1000,335,665.72,525.54,81.86,26.21,11.6,6.04,31.78
1000,336,664.73,524.52,81.83,26.18,11.65,6.07,32.07
1000,337,663.75,523.64,81.74,26.13,11.69,6.01,32.39
1000,338,662.76,522.75,81.6,26.15,11.71,5.97,32.64
1000,339,661.76,521.81,81.5,26.1,11.7,6.01,32.84
1000,340,660.78,520.94,81.43,26.05,11.67,5.98,33.17
1000,341,659.78,520.03,81.32,26.03,11.61,6.05,33.68
1000,342,658.81,519.0,81.31,26.08,11.55,6.08,33.84
1000,343,657.81,518.07,81.34,26.05,11.47,6.04,34.22
1000,344,656.84,517.1,81.32,26.08,11.45,6.04,34.99
1000,345,655.88,516.13,81.21,26.12,11.47,6.08,35.19
1000,346,654.88,515.33,80.83,26.13,11.54,6.14,35.54
1000,347,653.9,514.4,80.77,26.17,11.49,6.09,35.75
1000,348,652.91,513.33,80.75,26.22,11.53,6.11,36.01
1000,349,651.92,512.42,80.67,26.2,11.46,6.08,36.32
1000,350,650.92,511.56,80.55,26.13,11.49,6.08,36.68
1000,351,649.95,510.62,80.37,26.28,11.44,6.08,37.05
1000,352,648.95,509.56,80.37,26.24,11.49,6.05,37.18
1000,353,647.98,508.77,80.21,26.19,11.55,5.99,37.74
1000,354,647.0,507.92,80.1,26.09,11.59,5.96,38.42
1000,355,646.0,507.11,80.02,26.01,11.48,5.97,39.01
1000,356,645.0,506.23,79.94,26.01,11.45,5.98,39.42
1000,357,644.0,505.32,79.91,25.97,11.43,6.02,40.08
1000,358,643.0,504.38,79.83,25.97,11.37,6.05,40.56
1000,359,642.04,503.44,79.7,25.94,11.47,6.03,40.76
1000,360,641.08,502.5,79.67,25.89,11.38,6.09,40.85
1000,361,640.09,501.62,79.53,25.83,11.43,6.11,41.57
1000,362,639.1,500.67,79.45,25.88,11.41,6.11,42.31
1000,363,638.12,499.67,79.31,26.0,11.39,6.14,42.44
1000,364,637.12,498.79,79.17,26.01,11.42,6.16,43.04
1000,365,636.12,497.93,79.11,25.92,11.41,6.17,44.0
1000,366,635.14,497.04,78.93,25.82,11.53,6.19,44.29
1000,367,634.15,496.29,78.7,25.74,11.47,6.23,44.8
1000,368,633.15,495.5,78.57,25.66,11.4,6.2,45.02
1000,369,632.2,494.64,78.5,25.63,11.38,6.22,45.98
1000,370,631.2,493.77,78.4,25.58,11.41,6.19,46.61
1000,371,630.2,492.87,78.32,25.57,11.34,6.19,47.33
1000,372,629.24,491.95,78.24,25.52,11.34,6.21,47.56
1000,373,628.24,491.04,78.14,25.49,11.28,6.29,47.93
1000,374,627.25,490.26,77.86,25.48,11.33,6.31,48.34
1000,375,626.25,489.32,77.79,25.45,11.32,6.37,49.14
1000,376,625.25,488.35,77.82,25.42,11.23,6.37,49.49
1000,377,624.25,487.56,77.68,25.41,11.23,6.39,50.73
1000,378,623.26,486.63,77.7,25.37,11.2,6.4,51.48
1000,379,622.31,485.53,77.87,25.31,11.21,6.48,51.89
1000,380,621.31,484.61,77.81,25.27,11.21,6.51,52.32
1000,381,620.34,483.8,77.63,25.26,11.23,6.52,53.14
